Drug,Target
Procaine,KCNMA1
Procaine,KCNMB3
Procaine,KCNMB4
Methoxamine,ADRA1A
Methoxamine,ADRA1B
Methoxamine,ADRA1D
Homatropine Methylbromide,CHRM1
Homatropine Methylbromide,CHRM3
Trimipramine,HTR2A
Trimipramine,HTR1A
Trimipramine,ADRA1A
Trimipramine,ADRA1B
Trimipramine,DRD2
Trimipramine,ADRA2B
Trimipramine,HRH1
Trimipramine,ADRA2A
Trimipramine,DRD1
Trimipramine,DRD5
Trimipramine,ADRB1
Trimipramine,ADRB2
Trimipramine,CHRM1
Trimipramine,CHRM3
Nitroglycerin,NPR1
Diphemanil Methylsulfate,CHRM3
Nateglinide,PPARG
Risperidone,HTR2A
Risperidone,DRD2
Risperidone,ADRA1A
Risperidone,ADRA1B
Risperidone,HRH1
Risperidone,ADRA2A
Risperidone,ADRA2B
Risperidone,ADRA2C
Risperidone,HTR1A
Risperidone,DRD1
Risperidone,HTR7
Meclizine,HRH1
Modafinil,ADRA1B
Scopolamine,CHRM1
Scopolamine,CHRM3
Carbinoxamine,HRH1
Etodolac,PTGS2
Etodolac,RXRA
Epinastine,HRH1
Epinastine,HRH2
Epinastine,ADRA1A
Epinastine,ADRA2A
Epinastine,HTR2A
Epinastine,HTR7
Isoflurane,GRIA1
Isoflurane,CALM1
Isoflurane,CALM2
Isoflurane,CALM3
Tretinoin,RXRB
Tretinoin,RXRG
Tretinoin,RARA
Tretinoin,RXRA
Hexachlorophene,ESR1
Mometasone,PGR
Metyrosine,TH
Benzquinamide,HRH1
Benzquinamide,CHRM1
Benzquinamide,CHRM3
Olopatadine,HRH1
Alprostadil,PTGER2
Alprostadil,PTGER1
Clidinium,CHRM1
Hydroflumethiazide,ATP1A1
Hydroflumethiazide,KCNMA1
Tirofiban,ITGB3
Propiomazine,HRH1
Propiomazine,HTR2A
Propiomazine,DRD2
Propiomazine,DRD1
Propiomazine,ADRA1A
Propiomazine,ADRA1B
Propiomazine,ADRA1D
Propiomazine,CHRM3
Propiomazine,CHRM1
Propantheline,CHRM1
Estradiol,ESR1
Estradiol,ESR2
Estradiol,NCOA2
Estradiol,BECN1
Mefenamic acid,PTGS2
Cryptenamine,CHRM1
Cryptenamine,CHRM3
Marimastat,MMP2
Naproxen,PTGS2
Perindopril,SFRP4
Tripelennamine,HRH1
Primidone,GRIA2
Sulfasalazine,PTGS2
Sulfasalazine,PPARG
Sulfasalazine,CHUK
Sulfasalazine,IKBKB
Candesartan cilexetil,AGTR1
Tolazoline,ADRA1A
Tolazoline,ADRA2A
Tolazoline,HRH1
Tolazoline,HRH2
Tolazoline,ADRA2C
Tolazoline,ADRA2B
Gentamicin,LRP2
Tazarotene,RARA
Tazarotene,RXRB
Fenoldopam,DRD5
Fenoldopam,DRD1
Fenoldopam,ADRA2B
Fenoldopam,ADRA2C
Fenoldopam,ADRA2A
Fenoldopam,ADRA1B
Fenoldopam,ADRA1D
Fenoldopam,ADRA1A
Dicyclomine,CHRM1
Minaprine,HTR2A
Minaprine,DRD1
Minaprine,DRD2
Minaprine,CHRM1
Pentoxifylline,PDE4B
Pentoxifylline,PDE4A
Pentoxifylline,ADORA2A
Tropicamide,CHRM1
Tropicamide,CHRM3
Biperiden,CHRM1
Phenylbutazone,PTGS2
Fentanyl,OPRD1
Meloxicam,PTGS2
Orciprenaline,ADRB2
Carprofen,PTGS2
Ethynodiol diacetate,PGR
Ethynodiol diacetate,ESR1
Enprofylline,PDE4A
Enprofylline,PDE4B
Enprofylline,ADORA2B
Enprofylline,ADORA2A
Menthol,CACNA1C
Menthol,CACNA1D
Menthol,CACNB1
Menthol,CACNB2
Menthol,CACNB3
Menthol,CACNB4
Trifluoperazine,DRD2
Trifluoperazine,ADRA1A
Trifluoperazine,CALM1
Trifluoperazine,CALM2
Trifluoperazine,CALM3
Mifepristone,PGR
Brompheniramine,HRH1
Brompheniramine,CHRM1
Brompheniramine,CHRM3
Loperamide,OPRD1
Loperamide,POMC
Loperamide,CALM1
Loperamide,CALM2
Loperamide,CALM3
Progabide,GABBR1
Dobutamine,ADRB1
Dobutamine,ADRB2
Dobutamine,ADRA1A
Dobutamine,ADRA1B
Dobutamine,ADRA1D
Dobutamine,ESR1
Donepezil,HTR2A
Nalbuphine,OPRD1
Methylphenobarbital,GRIA2
Perphenazine,DRD2
Perphenazine,DRD1
Perphenazine,CALM1
Perphenazine,CALM2
Perphenazine,CALM3
Pseudoephedrine,ADRA1A
Pseudoephedrine,ADRA2A
Pseudoephedrine,ADRB2
Pseudoephedrine,ADRB1
Pseudoephedrine,NFATC1
Pseudoephedrine,TNF
Pseudoephedrine,ATF2
Pseudoephedrine,ATF4
Pseudoephedrine,FOS
Pseudoephedrine,JUN
Levorphanol,OPRD1
Diflunisal,PTGS2
Ranitidine,HRH2
Benzphetamine,ADRA2A
Benzphetamine,ADRA1A
Alprenolol,ADRB1
Alprenolol,ADRB2
Alprenolol,HTR1A
Ritodrine,ADRB2
Suprofen,PTGS2
Terbutaline,ADRB2
Terbutaline,ADRB1
Flupentixol,DRD2
Flupentixol,HTR2A
Flupentixol,DRD1
Flupentixol,ADRA1A
Flupentixol,CHRM1
Eprosartan,AGTR1
Sirolimus,MTOR
Sirolimus,FGF2
Clomifene,ESR1
Isosorbide Dinitrate,NPR1
Bumetanide,CFTR
Dienestrol,ESR1
Ethanol,GRIN3A
Ethanol,CACNB1
Ethanol,CACNA1C
Ethanol,GRIA1
Ethanol,CACNG1
Ethanol,GRIA2
Ethanol,GRIA4
Ethanol,KCNJ3
Ethanol,KCNJ6
Ethanol,KCNJ5
Ethanol,CACNA1D
Ethanol,CACNG2
Remifentanil,OPRD1
Bitolterol,ADRB2
Methdilazine,HRH1
Etacrynic acid,ATP1A1
Etacrynic acid,LEF1
Ondansetron,HTR1A
Ondansetron,HTR1B
Bimatoprost,PTGER1
Cocaine,CHRM1
Quinidine,ADRA1A
Quinidine,ADRA1B
Quinidine,ADRA1D
Repaglinide,PPARG
Phenformin,PRKAA1
Amantadine,GRIN3A
Amantadine,DRD2
Dinoprostone,PTGER2
Dinoprostone,PTGER1
Almotriptan,HTR1B
Ketotifen,HRH1
Buprenorphine,OPRD1
Levosimendan,PDE3A
Cyclobenzaprine,HTR2A
Phenoxybenzamine,ADRA1A
Phenoxybenzamine,ADRA2A
Phenoxybenzamine,ADRA2C
Phenoxybenzamine,ADRA2B
Phenoxybenzamine,CALM1
Phenoxybenzamine,CALM2
Phenoxybenzamine,CALM3
Phenoxybenzamine,ADRB2
Phenoxybenzamine,ADRA1B
Phenoxybenzamine,ADRA1D
Etretinate,RARA
Etretinate,RXRA
Etretinate,RXRG
Etretinate,RXRB
Famotidine,HRH2
Misoprostol,PTGER2
Mesoridazine,HTR2A
Mesoridazine,DRD2
Maprotiline,HRH1
Maprotiline,CHRM1
Maprotiline,CHRM3
Maprotiline,ADRA1A
Maprotiline,ADRA1B
Maprotiline,ADRA1D
Maprotiline,HTR2A
Maprotiline,HTR7
Maprotiline,DRD2
Maprotiline,ADRA2A
Maprotiline,ADRA2B
Maprotiline,ADRA2C
Oxymetazoline,ADRA1A
Oxymetazoline,ADRA2A
Oxymetazoline,ADRA2C
Oxymetazoline,ADRA2B
Oxymetazoline,ADRA1B
Oxymetazoline,ADRA1D
Salicylic acid,PTGS2
Salmeterol,ADRB2
Salmeterol,ADRB1
Meclofenamic acid,PTGS2
Methantheline,CHRM1
Methantheline,HRH2
Cycrimine,CHRM1
Acetylsalicylic acid,PTGS2
Acetylsalicylic acid,PRKAA1
Acetylsalicylic acid,PRKAA2
Acetylsalicylic acid,PRKAB1
Acetylsalicylic acid,PRKAB2
Acetylsalicylic acid,PRKAG1
Acetylsalicylic acid,PRKAG2
Acetylsalicylic acid,PRKAG3
Acetylsalicylic acid,IKBKB
Acetylsalicylic acid,TP53
Acetylsalicylic acid,NFKBIA
Acetylsalicylic acid,NFKB2
Acetylsalicylic acid,NFKB1
Fulvestrant,ESR1
Felbamate,GRIN2B
Felbamate,GRIN3A
Felbamate,GRIN2A
Fexofenadine,HRH1
Naratriptan,HTR1B
Naratriptan,HTR1F
Naratriptan,HTR1A
Rizatriptan,HTR1B
Rizatriptan,HTR1F
Hydrocodone,OPRD1
Norgestimate,PGR
Norgestimate,ESR1
Pindolol,ADRB1
Pindolol,ADRB2
Pindolol,HTR1A
Pindolol,HTR1B
Bromfenac,PTGS2
Apraclonidine,ADRA2A
Apraclonidine,ADRA1A
Apraclonidine,ADRA2B
Telmisartan,AGTR1
Telmisartan,PPARG
Desloratadine,HRH1
Methyldopa,ADRA2A
Azelastine,HRH1
Dipyridamole,PDE10A
Dipyridamole,PDE4A
Dipyridamole,RCAN1
Ethinyl Estradiol,ESR1
Cyclopentolate,CHRM1
Isotretinoin,RARA
Formoterol,ADRB2
Formoterol,ADRB1
Dimenhydrinate,HRH1
Glycopyrronium,CHRM1
Glycopyrronium,CHRM3
Dopamine,DRD2
Dopamine,DRD1
Dopamine,DRD5
Dopamine,HTR1A
Dopamine,HTR7
Dopamine,DRD1
Dopamine,DRD5
Oxaprozin,PTGS2
Azathioprine,RAC1
Neomycin,CASR
Auranofin,IKBKB
Gabapentin,CACNA2D1
Gabapentin,CACNA2D2
Gabapentin,GRIN1
Gabapentin,GRIN2A
Gabapentin,GRIN2B
Gabapentin,GRIN2C
Gabapentin,GRIN2D
Gabapentin,GRIN3A
Gabapentin,GRIN3B
Gabapentin,GABBR1
Gabapentin,GABBR2
Frovatriptan,HTR1B
Hydrochlorothiazide,KCNMA1
Salbutamol,ADRB2
Salbutamol,ADRB1
Cromoglicic acid,KCNMA1
Ketoprofen,PTGS2
Cinacalcet,CASR
Balsalazide,PPARG
Balsalazide,PTGS2
Glyburide,KCNJ5
Glyburide,CFTR
Glyburide,CPT1A
Minocycline,VEGFA
Minocycline,CASP3
Minocycline,CYCS
Guanfacine,ADRA2A
Guanfacine,ADRA2B
Bethanechol,CHRM1
Bethanechol,CHRM3
Trichlormethiazide,ATP1A1
Felodipine,CACNA1C
Felodipine,CACNA2D1
Felodipine,CACNB2
Felodipine,CACNA1D
Felodipine,CACNA2D2
Felodipine,CALM1
Felodipine,CALM2
Felodipine,CALM3
Felodipine,PDE1B
Amlexanox,IL3
Amlexanox,FGF1
Methoxyflurane,GRIA1
Irbesartan,AGTR1
Irbesartan,JUN
Cerulenin,FASN
Tolterodine,CHRM3
Tolterodine,CHRM1
Carphenazine,DRD2
Carphenazine,DRD1
Carphenazine,DRD5
Fenofibrate,PPARA
Fenofibrate,PPARG
Fenofibrate,PPARD
Thalidomide,TNF
Thalidomide,NFKB1
Thalidomide,FGFR2
Thalidomide,PTGS2
Memantine,GRIN3A
Memantine,GRIN2A
Memantine,GRIN2B
Memantine,DRD2
Memantine,GRIN1
Fluocinonide,SMO
Ergoloid mesylate,DRD1
Ergoloid mesylate,DRD5
Ergoloid mesylate,DRD2
Ergoloid mesylate,ADRA1A
Ergoloid mesylate,ADRA1B
Ergoloid mesylate,ADRA1D
Ergoloid mesylate,ADRA2A
Ergoloid mesylate,ADRA2B
Ergoloid mesylate,ADRA2C
Ergoloid mesylate,ADRB1
Ergoloid mesylate,ADRB2
Ergoloid mesylate,HTR1A
Ergoloid mesylate,HTR1B
Ergoloid mesylate,HTR1E
Ergoloid mesylate,HTR1F
Ergoloid mesylate,HTR2A
Ergoloid mesylate,HTR6
Ergoloid mesylate,HTR7
Ibuprofen,PTGS2
Ibuprofen,BCL2
Ibuprofen,THBD
Ibuprofen,PLAT
Ibuprofen,PPARG
Ibuprofen,CFTR
Ibuprofen,PPARA
Nitrendipine,CACNA1C
Nitrendipine,CACNA2D1
Nitrendipine,CACNB2
Nitrendipine,CACNG1
Nitrendipine,CACNA1D
Nitrendipine,CACNA2D2
Oxybutynin,CHRM3
Oxybutynin,CHRM1
Acetophenazine,DRD2
Acetophenazine,DRD1
Isoprenaline,ADRB1
Isoprenaline,ADRB2
Isoprenaline,MAPK1
Isoprenaline,PIK3R1
Isoprenaline,PIK3R2
Isoprenaline,PIK3R3
Melatonin,ESR1
Melatonin,CALM1
Melatonin,CALM2
Melatonin,CALM3
Glipizide,PPARG
Promethazine,HRH1
Promethazine,DRD2
Promethazine,CHRM1
Promethazine,CHRM3
Promethazine,ADRA1A
Promethazine,HTR2A
Promethazine,CALM1
Promethazine,CALM2
Promethazine,CALM3
Promethazine,HRH2
Mequitazine,HRH1
Perhexiline,CPT1A
Perhexiline,CPT2
Diphenhydramine,HRH1
Atorvastatin,HMGCR
Etidronic acid,ATP6V1A
Deslanoside,ATP1A1
Tegaserod,HTR2A
Vigabatrin,GABBR1
Diphenoxylate,OPRD1
Orlistat,FASN
Emedastine,HRH1
Pilocarpine,CHRM3
Pilocarpine,CHRM1
Iloprost,PTGER1
Iloprost,PDE4A
Iloprost,PDE4B
Iloprost,PDE4C
Iloprost,PDE4D
Iloprost,PLAT
Ouabain,ATP1A1
Ouabain,ATP1A3
Fluvastatin,HMGCR
Leflunomide,PTK2B
Rosuvastatin,HMGCR
Pimozide,DRD2
Pimozide,CALM1
Pimozide,CALM2
Pimozide,CALM3
Arbutamine,ADRB1
Arbutamine,ADRB2
Quinacrine,PLA2G6
Levocabastine,HRH1
Trilostane,ESR1
Trilostane,ESR2
Heparin,FGFR4
Heparin,FGF4
Heparin,FGF19
Heparin,FGFR1
Heparin,FGF1
Heparin,FGFR2
Heparin,FGF2
Miconazole,NOS3
Miconazole,KCNMA1
Miconazole,KCNMB3
Miconazole,KCNMB4
Papaverine,PDE4B
Papaverine,PDE10A
Chlorphenamine,HRH1
Nifedipine,CACNA1C
Nifedipine,CACNA2D1
Nifedipine,CACNB2
Nifedipine,CACNA1D
Nifedipine,CALM1
Nifedipine,CALM2
Nifedipine,CALM3
Amiodarone,ADRB1
Amiodarone,CACNA2D2
Amiodarone,THRA
Amiodarone,THRB
Amiodarone,PPARG
Diazoxide,ATP1A1
Diazoxide,KCNMA1
Gliclazide,VEGFA
Pioglitazone,PPARG
Pioglitazone,PPARD
Pioglitazone,PPARA
Tiludronic acid,ATP6V1A
Tiludronic acid,PTPN1
Carvedilol,ADRB1
Carvedilol,ADRA1A
Carvedilol,ADRB2
Carvedilol,VEGFA
Carvedilol,NPPB
Carvedilol,ADRA1D
Carvedilol,ADRA1B
Carvedilol,ADRA2C
Carvedilol,ADRA2B
Carvedilol,ADRA2A
Carvedilol,HIF1A
Carvedilol,KCNJ4
Doxepin,HRH1
Doxepin,HRH2
Doxepin,HTR2A
Doxepin,CHRM1
Doxepin,CHRM3
Doxepin,ADRA1A
Doxepin,ADRA1B
Doxepin,ADRA1D
Doxepin,HTR1A
Doxepin,ADRA2A
Doxepin,ADRA2B
Doxepin,ADRA2C
Doxepin,DRD2
Doxepin,HTR6
Diphenylpyraline,HRH1
Flavoxate,CHRM1
Nefazodone,HTR2A
Nefazodone,HTR1A
Nefazodone,ADRA1B
Nefazodone,ADRA2A
Nefazodone,ADRA1A
Desipramine,HTR2A
Desipramine,ADRB2
Desipramine,ADRB1
Desipramine,HRH1
Desipramine,ADRA1A
Desipramine,ADRA1B
Desipramine,ADRA1D
Desipramine,CHRM1
Desipramine,CHRM3
Desipramine,HTR1A
Desipramine,DRD2
Desipramine,ADRA2A
Desipramine,ADRA2B
Desipramine,ADRA2C
Bretylium,ATP1A1
Halothane,KCNMA1
Halothane,GRIN3A
Halothane,GRIN3B
Halothane,GRIN2A
Halothane,KCNJ6
Halothane,KCNJ3
Chloroprocaine,GRIN3A
Terazosin,ADRA1A
Terazosin,ADRA1B
Terazosin,ADRA1D
Cilostazol,PDE3A
Arsenic trioxide,IKBKB
Arsenic trioxide,JUN
Arsenic trioxide,CCND1
Arsenic trioxide,MAPK3
Arsenic trioxide,MAPK1
Arsenic trioxide,AKT1
Arsenic trioxide,CDKN1A
Arsenic trioxide,HDAC1
Orphenadrine,GRIN2D
Orphenadrine,GRIN1
Orphenadrine,GRIN3B
Orphenadrine,GRIN3A
Orphenadrine,HRH1
Phenobarbital,GRIA2
Phenobarbital,GRIN1
Phenobarbital,GRIN2A
Phenobarbital,GRIN2B
Phenobarbital,GRIN2C
Phenobarbital,GRIN2D
Phenobarbital,GRIN3A
Phenobarbital,GRIN3B
Escitalopram,ADRA1A
Escitalopram,CHRM1
Escitalopram,HRH1
Cyclizine,HRH1
Propafenone,ADRB1
Propafenone,ADRB2
Naloxone,OPRD1
Naloxone,CREB1
Naloxone,ESR1
Domperidone,DRD2
Fluoxymesterone,ESR1
Pergolide,DRD2
Pergolide,HTR1A
Pergolide,HTR2A
Pergolide,ADRA2B
Pergolide,ADRA2A
Pergolide,ADRA2C
Pergolide,DRD5
Pergolide,DRD1
Pergolide,HTR1B
Pergolide,ADRA1A
Pergolide,ADRA1B
Pergolide,ADRA1D
Ciclopirox,ATP1A1
Desflurane,GRIA1
Oxymorphone,OPRD1
Acebutolol,ADRB1
Acebutolol,ADRB2
Estramustine,ESR1
Estramustine,ESR2
Captopril,MMP2
Bromocriptine,DRD2
Bromocriptine,ADRA2A
Bromocriptine,HTR1A
Bromocriptine,ADRA2C
Bromocriptine,ADRA2B
Bromocriptine,HTR2A
Bromocriptine,HTR1B
Bromocriptine,DRD5
Bromocriptine,DRD1
Bromocriptine,ADRA1A
Bromocriptine,ADRA1B
Bromocriptine,ADRA1D
Bromocriptine,HTR7
Nadolol,ADRB1
Nadolol,ADRB2
Ridogrel,TBXA2R
Levobunolol,ADRB2
Levobunolol,ADRB1
Fomepizole,CAT
Metipranolol,ADRB2
Metipranolol,ADRB1
Dantrolene,RYR1
Ketamine,GRIN3A
Ketamine,TACR1
Ketamine,DRD2
Ketamine,OPRD1
Ketamine,CHRM1
Ketamine,CHRM3
Ketamine,HTR2A
Ketamine,HTR1A
Ketamine,HTR1B
Ketamine,HTR1E
Ketamine,HTR1F
Ketamine,NOS1
Aminophylline,PDE3A
Aminophylline,HDAC2
Quetiapine,HTR2A
Quetiapine,DRD2
Quetiapine,HTR1A
Quetiapine,HTR1B
Quetiapine,HTR1E
Quetiapine,HTR6
Quetiapine,HTR7
Quetiapine,DRD1
Quetiapine,DRD5
Quetiapine,HRH1
Quetiapine,ADRA1A
Quetiapine,ADRA1B
Quetiapine,ADRA1D
Quetiapine,ADRA2A
Quetiapine,ADRA2B
Quetiapine,ADRA2C
Quetiapine,CHRM1
Quetiapine,CHRM3
Mivacurium,CHRM3
Paclitaxel,BCL2
Paclitaxel,MAPT
Diphenidol,CHRM1
Diphenidol,CHRM3
Metoclopramide,DRD2
Metoclopramide,CHRM1
Levodopa,DRD1
Levodopa,DRD5
Levodopa,DRD2
Sevoflurane,GRIA1
Bromodiphenhydramine,HRH1
Aripiprazole,HTR2A
Aripiprazole,DRD2
Aripiprazole,HTR1A
Aripiprazole,HTR1B
Aripiprazole,HTR1E
Aripiprazole,HTR6
Aripiprazole,HTR7
Aripiprazole,DRD1
Aripiprazole,DRD5
Aripiprazole,HRH1
Aripiprazole,ADRA1A
Aripiprazole,ADRA1B
Aripiprazole,ADRA2A
Aripiprazole,ADRA2B
Aripiprazole,ADRA2C
Aripiprazole,CHRM1
Aripiprazole,CHRM3
Chlorprothixene,DRD2
Chlorprothixene,DRD1
Chlorprothixene,HTR2A
Chlorprothixene,HRH1
Chlorprothixene,CHRM1
Chlorprothixene,CHRM3
Gemfibrozil,PPARA
Clomipramine,HTR2A
Bepridil,CACNA2D2
Bepridil,ATP1A1
Bepridil,CALM1
Bepridil,CALM2
Bepridil,CALM3
Bepridil,PDE1B
Alimemazine,HRH1
Docetaxel,BCL2
Docetaxel,MAPT
Mitiglinide,PPARG
Ergonovine,ADRA1A
Dasatinib,ABL1
Dasatinib,SRC
Dasatinib,EPHA2
Dasatinib,LCK
Dasatinib,KIT
Dasatinib,STAT5B
Dasatinib,ABL2
Dasatinib,FYN
Dasatinib,FGR
Dasatinib,HSPA8
Dasatinib,LYN
Dasatinib,MAPK14
Lisdexamfetamine,ADRA1B
Lapatinib,EGFR
Lapatinib,ERBB2
Paliperidone,HTR2A
Paliperidone,DRD2
Paliperidone,HRH1
Paliperidone,ADRA1A
Paliperidone,ADRA1B
Paliperidone,ADRA2A
Paliperidone,ADRA2B
Paliperidone,ADRA2C
Paliperidone,HTR1A
Paliperidone,DRD1
Paliperidone,HTR7
Sunitinib,FLT1
Sunitinib,KIT
Sunitinib,KDR
Sunitinib,FLT4
Sunitinib,FLT3
Sunitinib,CSF1R
Sunitinib,PDGFRA
Panitumumab,EGFR
Ranibizumab,VEGFA
Arformoterol,ADRB2
Exenatide,GLP1R
Mecasermin,IGF1R
Mecasermin,IGFBP3
Mecasermin,INSR
Carbetocin,OXTR
Lumiracoxib,PTGS2
Tetracosactide,MC2R
Corticotropin,MC2R
Fenoterol,ADRB2
Fenoterol,ADRB1
Pirbuterol,ADRB2
Pirbuterol,ADRB1
Bevantolol,ADRB1
Bevantolol,ADRB2
Bevantolol,ADRA1A
Glucosamine,NFKB2
Glucosamine,TNF
Practolol,ADRB1
Oxtriphylline,PDE3A
Oxtriphylline,PDE4A
Oxtriphylline,ADORA2A
Oxtriphylline,HDAC2
Insulin Aspart,INSR
Insulin Detemir,INSR
Insulin Glulisine,INSR
Cefazolin,IL15
Pancuronium,CHRM3
Pipecuronium,CHRM3
Forasartan,AGTR1
Potassium,ATP1A1
Quinidine barbiturate,GRIA2
Saprisartan,AGTR1
Tasosartan,AGTR1
Amobarbital,GRIA2
Aprobarbital,GRIA2
Butethal,GRIA2
Heptabarbital,GRIA2
Hexobarbital,GRIA2
Lithium,GSK3B
Mestranol,ESR1
Penbutolol,ADRB1
Penbutolol,ADRB2
Penbutolol,HTR1A
Penbutolol,HTR1B
Ephedra,ADRA2A
Ephedra,ADRA2B
Ephedra,ADRA2C
Ephedra,ADRB1
Ephedra,ADRB2
Ephedrine,ADRA1A
Mephentermine,ADRA1A
Mephentermine,ADRA1B
Mephentermine,ADRA1D
Mephentermine,ADRA2A
Mephentermine,ADRA2B
Mephentermine,ADRA2C
Mephentermine,ADRB1
Mephentermine,ADRB2
Procaterol,ADRB2
Rasagiline,BCL2
Aluminium,TF
Aluminium,ATP1A1
Calcium,CACNA1C
Calcium,COMP
Calcium,CALM1
Calcium,CALM2
Calcium,CALM3
Calcium,S100A9
Calcium,BMP4
Aluminium monostearate,VDAC1
Aluminium monostearate,VDAC2
Aluminium monostearate,VDAC3
Magnesium,ATP1A1
Mibefradil,CACNA1C
Mibefradil,CACNA1D
Mibefradil,CACNB1
Mibefradil,CACNB2
Mibefradil,CACNB3
Mibefradil,CACNB4
Yohimbine,ADRA2A
Yohimbine,ADRA2B
Yohimbine,ADRA2C
Yohimbine,HTR1A
Yohimbine,HTR1B
Yohimbine,DRD2
Yohimbine,HTR2A
Yohimbine,KCNJ12
Bezafibrate,PPARA
Bezafibrate,PPARD
Bezafibrate,PPARG
Bezafibrate,RXRA
Bezafibrate,RXRB
Bezafibrate,RXRG
Drospirenone,PGR
Digitoxin,ATP1A1
Magnesium salicylate,PTGS2
Salsalate,PTGS2
Choline magnesium trisalicylate,PTGS2
Methotrimeprazine,DRD2
Methotrimeprazine,DRD1
Methotrimeprazine,DRD5
Methotrimeprazine,HTR2A
Methotrimeprazine,HRH1
Methotrimeprazine,CHRM1
Methotrimeprazine,CHRM3
Methotrimeprazine,ADRA1A
Methotrimeprazine,ADRA1B
Methotrimeprazine,ADRA1D
Methotrimeprazine,ADRA2A
Methotrimeprazine,ADRA2B
Methotrimeprazine,ADRA2C
Ginseng,PTGS2
Danazol,ESR1
Danazol,PGR
Clenbuterol,ADRB2
Clenbuterol,ADRB1
Clenbuterol,NGF
Clenbuterol,TNF
Bambuterol,ADRB2
Tiotropium,CHRM3
Tiotropium,CHRM1
Pranlukast,TNF
Pranlukast,NFKB1
Theobromine,ADORA2A
Theobromine,PDE4B
Antrafenine,PTGS2
Alizapride,DRD2
Amrinone,PDE3A
Amrinone,PDE4B
Amrinone,TNF
Oxybenzone,PGR
Oxybenzone,ESR1
Oxybenzone,ESR2
Aprindine,CALM1
Aprindine,CALM2
Aprindine,CALM3
Almitrine,ATP1A1
Allylestrenol,PGR
Allylestrenol,ESR1
Antipyrine,PTGS2
Alfacalcidol,RXRA
3-Methylthiofentanyl,OPRD1
MMDA,HTR2A
Dimethylthiambutene,OPRD1
Heroin,OPRD1
Midomafetamine,HTR2A
4-Methoxyamphetamine,ADRA1A
4-Methoxyamphetamine,ADRA2A
Barbital,GRIA2
Dimethyltryptamine,HTR6
Dimethyltryptamine,HTR2A
Barbituric acid derivative,GRIA2
Etorphine,OPRD1
Etorphine,POMC
Tenocyclidine,GRIN3A
Tenocyclidine,GRIN3B
Tenocyclidine,GRIN2A
Tenocyclidine,GRIN2C
Tenocyclidine,GRIN2B
Tenocyclidine,GRIN2D
Carfentanil,OPRD1
"4-Bromo-2,5-dimethoxyphenethylamine",HTR2A
Diprenorphine,OPRD1
Rolicyclidine,GRIN3A
Rolicyclidine,DRD2
Dihydromorphine,OPRD1
Dihydromorphine,POMC
3-Methylfentanyl,OPRD1
Dextroamphetamine,ADRA1A
Dextroamphetamine,ADRA1B
Methamphetamine,ADRA2A
Methamphetamine,ADRA2B
Methamphetamine,ADRA2C
Phendimetrazine,ADRA1A
Phendimetrazine,ADRA1B
Oxprenolol,ADRB1
Oxprenolol,ADRB2
Liotrix,THRA
Liotrix,THRB
Everolimus,MTOR
Solifenacin,CHRM3
Solifenacin,CHRM1
Iron,TFRC
Iron,TF
Zinc,ALDOA
Zinc,ENO1
Zinc,ESR1
Zinc,IL3
Zinc,HDAC1
Zinc,HDAC4
Zinc,SIVA1
Zinc,MDM2
Zinc,INS
Zinc,S100A9
Zinc,TP73
Zinc,TP53
Zinc,APOA1
Zinc,FN1
Zinc,KRT16
Zinc,KRT9
Zinc,TF
Tiaprofenic acid,PTGS2
Propericiazine,DRD1
Propericiazine,ADRA2A
Propericiazine,ADRA1B
Hydroxychloroquine,TLR9
Amyl Nitrite,NPR1
Erythrityl Tetranitrate,NPR1
Erythrityl Tetranitrate,NPR2
Acepromazine,DRD2
Acepromazine,DRD1
Acepromazine,HTR2A
Acepromazine,HTR1A
Acepromazine,ADRA1A
Acepromazine,ADRA1B
Aceprometazine,HRH1
Alverine,HTR1A
Molindone,DRD2
Molindone,HTR1A
Molindone,HTR2A
Molindone,CHRM1
Phenindamine,HRH1
Pheniramine,HRH1
Pipotiazine,DRD2
Pipotiazine,DRD1
Pipotiazine,HTR2A
Pipotiazine,HTR1A
Thioproperazine,DRD2
Thioproperazine,DRD1
Thioproperazine,HTR2A
Thioproperazine,HTR1A
Thioproperazine,ADRA1A
Thioproperazine,ADRA1B
Thiothixene,DRD2
Thiothixene,DRD1
Thiothixene,HTR2A
Zuclopenthixol,DRD1
Zuclopenthixol,DRD5
Zuclopenthixol,DRD2
Zuclopenthixol,ADRA1A
Zuclopenthixol,ADRA2A
Zuclopenthixol,HTR2A
Zuclopenthixol,HRH1
Isopropamide,CHRM3
Etoricoxib,PTGS2
SC-74020,MMP2
Methyl Nonanoate (Ester),LCN2
"(5r)-6-(4-{[2-(3-Iodobenzyl)-3-Oxocyclohex-1-En-1-Yl]Amino}Phenyl)-5-Methyl-4,5-Dihydropyridazin-3(2h)-One",PDE3B
Genistein,ESR2
Genistein,PTK2B
Genistein,NCOA1
Genistein,ESR1
Genistein,NCOA2
Genistein,AKT1
Daxalipram,PDE4B
7-Methyl-Gpppa,EIF4E
Roflumilast,PDE4D
Roflumilast,PDE4A
Roflumilast,PDE4B
Roflumilast,PDE4C
(S)-Des-Me-Ampa,GRIA2
D-Myo-Inositol-Hexasulphate,FST
"2,3-Dihydroxy-Benzoic Acid",LCN2
RU84687,SRC
"N,N-dimethylarginine",NOS3
