locus_id,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
EREG,0.91502,0.04264,0.27064,0.0832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61467,0.28409,0.0,0.0,0.0,0.29344,0.10404,0.54639,0.04503,0.35476,0.0,0.34125,0.3211,0.67519,0.84082,0.30336,0.26496,0.35491,0.60898,0.0301,0.2051,0.08988,0.33779,0.36232,0.72866,0.05,0.39129,0.61349,0.2414,0.21875,0.0
ESR1,0.79411,0.36208,0.38529,0.2851,0.93617,0.44444,0.0,1.0,0.88913,0.0,0.0641,0.2793,0.46155,0.00219,1.0,0.80282,0.03297,0.41121,0.33333,0.3826,0.15194,0.11574,0.21211,0.14287,0.83974,0.69697,0.14243,0.56602,0.19413,1.0,0.57695,0.33333,0.18364,0.02564,0.31074,0.89646,0.77405,0.0,0.41108,1.0,0.90625,0.0
ESR2,0.01093,0.02603,0.0,0.0,0.0,0.00509,0.0,0.0,0.0,0.0,0.00674,0.01887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00527,0.0,0.0,0.0,0.0,0.00933,0.0,0.0,0.0,0.00362,0.0,0.00737,0.0,0.0,0.00365,0.0,0.02795,0.00811,0.0,0.0,0.0,0.01661,0.0
ETS1,0.09037,0.09502,0.0,0.00898,0.0,0.0,0.0,0.0,0.0,0.0,0.01012,0.03089,0.0183,0.0,0.0,0.00339,0.5,0.00211,0.00624,0.0,0.0,0.00836,0.0,0.0,0.0,0.0,0.00299,0.0,0.01008,0.0,0.0035,0.0,0.0,0.0,0.0,0.00617,0.00131,0.14555,0.0,0.0,0.0,0.0
ETS2,0.41534,0.23742,0.14839,0.60099,0.40117,0.13223,0.0,0.50328,0.2691,0.0,0.00464,0.63945,0.75333,0.0,0.0,0.11702,0.09268,0.25108,0.49611,0.60601,0.40525,0.14286,0.29508,0.60108,0.04434,0.5025,0.3108,0.84907,0.41046,0.79279,0.09095,0.63225,0.37105,0.4808,0.70436,0.0164,0.51613,0.63745,0.53133,0.0,0.56658,0.0
EVC,0.0038,0.02132,0.00606,0.01325,0.0,0.0,0.0,0.73322,0.67248,0.0,0.00133,0.07675,0.00813,0.0,1.0,0.00906,0.39294,0.00525,0.22332,0.02936,0.0,0.0028,0.0069,0.0,0.0,0.0,0.0,0.0,0.01516,0.0,0.03014,0.0,0.00984,0.01432,0.00147,0.02136,0.85678,0.0,0.0,0.03428,0.0,0.0
EVC2,0.92822,0.32565,0.96375,0.07993,0.80342,0.11227,0.0,0.89012,0.8367,0.0,0.23752,0.45508,0.94984,0.0,0.83817,0.85964,0.7235,0.55411,0.55297,0.09571,0.90808,0.05191,0.54213,0.82538,0.20721,0.25111,0.2714,0.60271,0.60017,0.39232,0.59914,0.84375,0.62531,0.8412,0.90736,0.35042,0.9477,0.39475,0.76389,0.00581,0.90428,0.0
EVL,0.33439,0.226,0.41332,0.20905,0.37499,0.32581,0.0,0.44248,0.89667,0.0,0.4977,0.35276,0.17123,0.0,0.99682,0.36176,0.2835,0.43084,0.32461,0.34424,0.23456,0.20561,0.14395,0.1776,0.36275,0.2573,0.4567,0.22727,0.13999,0.23576,0.21426,0.2701,0.11687,0.06079,0.37407,0.60834,0.7785,0.21263,0.49217,0.21949,0.21951,0.0
EXOC2,0.03031,0.26749,0.20588,0.25279,0.38148,0.29404,0.0,0.28451,0.24113,0.0,0.32257,0.28745,0.21299,0.44816,0.0,0.26597,0.20211,0.31275,0.32673,0.21715,0.20766,0.09305,0.20613,0.30859,0.30294,0.21347,0.21831,0.16988,0.31866,0.32246,0.24148,0.22541,0.19966,0.32687,0.18368,0.42038,0.40876,0.31888,0.22742,0.29537,0.31526,0.0
EXOC7,0.75509,0.7032,0.84993,0.92361,0.85723,0.52741,0.0,0.10428,0.776,0.0,0.44278,0.91379,0.06758,0.99385,0.9757,0.8364,0.89128,0.80102,0.97295,0.61826,0.95968,0.6212,0.80494,0.96237,0.92167,0.76913,0.96004,0.62859,0.4742,0.41817,0.2734,0.27093,0.63965,0.90281,0.43525,0.75368,0.63355,0.956,0.87498,0.18656,0.38141,0.0
F2R,0.61753,0.11538,0.17091,0.04515,0.13295,0.08222,0.0,0.56453,0.48024,0.0,0.54371,0.6033,0.48644,1.0,0.72757,0.49533,0.40174,0.70814,0.42499,0.36479,0.10859,0.01637,0.32934,0.21789,0.20787,0.33821,0.11598,0.15309,0.34183,0.53929,0.19805,0.6097,0.34092,0.31189,0.45011,0.0007,0.17122,0.21463,0.59055,0.58483,0.69697,0.0
F3,0.03766,0.01793,0.01106,0.0148,0.0,0.03184,0.0,0.01653,0.05007,0.0,0.00116,0.0343,0.00489,0.0,0.0731,0.011,0.06319,0.00308,0.02037,0.09571,0.01069,0.04391,0.06694,0.11114,0.00844,0.1401,0.00559,0.03179,0.02406,0.00194,0.0813,0.0615,0.00717,0.05797,0.128,0.30899,0.03817,0.0,0.05646,0.11397,0.05039,0.0
FABP3,0.0,0.94443,0.0,0.0,0.0,0.66667,0.0,1.0,0.04167,0.0,0.0,0.06667,0.09089,0.0,0.0,0.15001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647,0.0,0.0,0.0,0.68421,0.16665,0.0,0.0,0.0,0.03333,0.0,0.17143,0.0,0.0,0.0,0.0,0.0
FADD,0.15232,0.28437,0.40651,0.11111,0.44299,0.2907,0.0,0.20154,0.22535,0.0,0.32924,0.17334,0.14907,0.0,0.33333,0.14428,0.25,0.18846,0.22456,0.27792,0.05755,0.14195,0.1677,0.04667,0.26901,0.2,0.13488,0.19387,0.16463,0.13725,0.23834,0.13636,0.19116,0.02479,0.13917,0.22908,0.23642,0.18182,0.13405,0.27747,0.05769,0.0
FADS2,0.32369,0.03015,0.3234,0.02363,0.1495,0.04967,0.0,0.95261,0.91917,0.0,0.09998,0.30443,0.25299,0.99504,0.00422,0.724,0.84819,0.25609,0.82064,0.25078,0.15536,0.06669,0.08146,0.61403,0.43386,0.10142,0.01681,0.02255,0.03813,0.05793,0.38987,0.79486,0.64785,0.19602,0.13346,0.4622,0.51565,0.70402,0.12038,0.6675,0.95313,0.0
FARP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0
FAS,0.11145,0.06889,0.00157,0.03011,0.0,0.02085,0.0,0.01234,0.05682,0.0,0.00019,0.03659,0.03226,0.0016,0.0,0.02904,0.01408,0.1759,0.03634,0.01478,0.03571,0.01883,0.00365,0.00207,0.00718,0.00362,0.0188,0.05263,0.00114,0.0,0.47656,0.06021,0.47763,0.00849,0.0,0.00436,0.04833,0.04123,0.05263,0.0,0.0,0.0
FASN,0.02562,0.01677,0.0077,0.00533,0.01863,0.00422,0.0,0.00402,0.00585,0.0,0.00051,0.09958,0.00014,0.0014,0.00033,0.02176,0.06282,0.0196,0.11455,0.00561,0.00192,0.04623,0.03749,0.01352,0.00385,0.01981,0.01626,0.01471,0.05654,0.05749,0.00541,0.03565,0.0151,0.05877,0.03845,0.00079,0.00479,0.00048,0.04425,0.00158,0.01452,0.0
FAT4,0.02819,0.01041,0.00592,0.00721,0.0,0.00907,0.0,0.09895,0.81962,0.0,0.00518,0.01489,0.05118,0.74902,0.0,0.00152,0.01524,0.0076,0.01217,0.00742,0.0,0.02501,0.00287,0.0011,0.00741,0.01695,0.01489,0.0,0.00614,0.00628,0.0282,0.00668,0.00253,0.01404,0.00461,0.92174,0.89233,0.00821,0.00257,0.00264,0.014,0.0
FBP1,1.0,0.9844,1.0,1.0,1.0,0.92425,0.0,1.0,0.8755,0.0,1.0,0.64002,0.86363,0.0,1.0,0.60422,1.0,0.6154,0.97059,1.0,1.0,0.82941,1.0,1.0,1.0,1.0,0.88,0.8,0.7089,1.0,0.80558,0.95835,0.73556,1.0,0.76665,1.0,1.0,1.0,1.0,0.7692,0.931,0.0
FBXO25,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0341,0.0,0.0,0.0,0.0,0.0,0.0,0.94683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06486,0.0,0.013,0.25288,0.0,0.00526,0.0,0.06308,0.0,0.04616,0.0,0.0,0.0,0.0
FBXO32,0.11621,0.05383,0.00266,0.02195,0.01463,0.03707,0.0,0.0547,0.05566,0.0,0.05247,0.04925,0.03622,0.00163,0.0315,0.06653,0.03441,0.07665,0.01377,0.03147,0.0,0.00229,0.01942,0.03548,0.04284,0.0443,0.01056,0.04852,0.06444,0.01517,0.03906,0.04309,0.02368,0.02777,0.06247,0.251,0.03981,0.01366,0.01653,0.05081,0.05597,0.0
FBXW11,0.01426,0.01449,0.0,0.01771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368,0.0,0.00098,0.00032,0.0,0.0,0.0,0.00255,0.0,0.0,0.00996,0.0,0.00134,0.0,0.00112,0.0,0.0,0.0,0.0,0.0,0.0,0.00226,0.0,0.0,0.00179,0.00945,0.0,0.0,0.0,0.00884,0.0
FFAR2,0.68518,0.18049,1.0,0.24746,1.0,0.42708,0.0,0.9222,0.2772,0.0,0.45944,0.11902,0.81775,0.498,0.0,0.66329,0.0,0.30589,0.26825,0.88165,0.16991,0.84669,0.90545,0.54165,0.9318,0.0604,0.9896,0.48898,0.20632,0.13859,0.87335,0.75772,0.9868,0.21777,0.14109,0.62995,0.25573,0.0,0.53221,0.56589,0.7778,0.0
FGF1,0.94445,0.87665,0.9542,0.83645,0.96426,0.8889,0.0,0.95833,0.74795,0.0,0.22445,0.4545,0.9186,0.0,0.0,0.70755,0.54085,0.94769,0.64755,0.84966,0.89655,0.575,0.87255,0.8936,0.88515,0.83836,0.09341,0.6739,0.39285,0.2551,0.75455,0.63829,0.7798,0.86324,0.04465,0.6959,0.798,0.54548,0.1607,1.0,0.7586,0.0
FGF10,0.62364,0.09025,0.05524,0.0426,0.1437,0.76224,0.0,1.0,0.85039,0.0,0.32586,0.28699,0.13462,0.0,0.0,0.65248,0.38137,0.64881,0.08989,0.16954,0.23334,0.0,0.02365,0.2364,0.47619,0.00867,0.01778,0.01446,0.01658,0.026,0.0,0.31406,0.01005,0.09812,0.0,0.79047,0.91381,0.05635,0.0452,0.12862,0.02291,0.0
FGF17,0.9591,0.6875,1.0,0.3182,0.82145,0.89615,0.0,0.9583,0.85835,0.0,0.77275,0.1993,0.91888,0.0,0.0,0.3125,0.875,1.0,1.0,0.0,0.9231,0.8421,0.98215,0.59375,0.8,0.35,0.16665,0.6296,0.2746,0.04025,0.11595,0.5,0.1523,0.71875,1.0,0.5455,0.8276,0.0,0.175,0.0,0.92855,0.0
FGF18,0.0676,0.02417,0.0132,0.00939,0.0,0.00162,0.0,0.0054,0.00429,0.0,0.00547,0.02853,0.00531,0.0,0.0009,0.01173,0.0023,0.01121,0.01856,0.00462,0.00178,0.02212,0.0,0.00371,0.01117,0.00719,0.01548,0.1477,0.26609,0.01678,0.01455,0.06438,0.14886,0.00158,0.01169,0.33175,0.00903,0.02285,0.02352,0.0,0.15825,0.0
FGF19,0.78474,0.02078,0.49287,0.02134,0.02949,0.03027,0.0,0.00422,0.75752,0.0,0.08219,0.11557,0.01499,0.00104,0.31352,0.12311,0.70711,0.24266,0.06368,0.01259,0.00818,0.00924,0.01389,0.01093,0.3505,0.06932,0.01232,0.06782,0.03272,0.00113,0.02064,0.10589,0.00812,0.07959,0.0025,0.81113,0.05653,0.34203,0.02082,0.0,0.25118,0.0
FGF2,0.0,0.08277,0.05107,0.00457,0.01316,0.09858,0.0,0.0,0.01429,0.0,0.0,0.15913,0.6182,0.0,0.0,0.01215,1.0,0.94958,0.79311,0.01163,0.0145,0.0,0.0044,0.08105,0.0,1.0,0.0,0.0,0.0,0.0216,0.24489,0.0438,0.11768,0.0,0.0,0.95081,1.0,0.0,0.00917,0.11861,0.0,0.0
FGF20,0.91706,0.60338,0.96022,0.33802,0.0,0.57589,0.0,0.97282,0.75238,0.0,0.2182,0.57895,0.2572,0.0,1.0,0.80849,0.71014,0.14585,0.34597,0.2178,0.48795,0.41976,0.26913,0.10301,0.76782,0.03578,0.0847,0.24203,0.2124,0.8966,0.053,0.87328,0.81622,0.53814,0.55053,0.86262,0.23078,0.24053,0.8175,1.0,0.84239,0.0
FGF22,0.1275,0.02149,0.10918,0.02528,0.00703,0.08897,0.0,0.06524,0.08037,0.0,0.04508,0.04141,0.03003,0.00325,0.09005,0.10556,0.03571,0.08456,0.04963,0.00719,0.03082,0.09852,0.00423,0.00216,0.0337,0.0416,0.01508,0.0794,0.07597,0.08206,0.01208,0.04082,0.04129,0.06117,0.05963,0.81494,0.08139,0.00785,0.0251,0.0,0.02991,0.0
FGF3,0.85294,0.0842,0.72034,0.16903,0.0354,0.59132,0.0,0.93546,0.77442,0.0,0.43366,0.0474,0.42192,0.0,1.0,0.48226,0.94983,0.32432,0.56135,0.95035,0.07812,0.0,0.07691,0.63515,0.91782,0.02233,0.01408,0.03769,0.18282,0.04478,0.04522,0.17476,0.00711,0.09892,0.02536,0.77777,0.0,0.0,0.2371,0.00144,0.18032,0.0
FGF4,0.8138,0.29606,0.92857,0.15982,0.30015,0.62066,0.0,0.89122,0.80319,0.0,0.74604,0.10223,0.35796,0.0,0.67863,0.55991,0.90384,0.71083,0.4029,0.64572,0.46004,0.40112,0.38295,0.6516,0.95809,0.35188,0.04846,0.23556,0.10844,0.03485,0.05749,0.3767,0.02048,0.43655,0.06659,0.84502,0.9072,0.51661,0.31585,0.01033,0.1965,0.0
FGF5,0.7273,0.8824,0.0455,0.625,0.3396,0.36112,0.0,0.9286,0.77909,0.0,1.0,0.0952,0.7857,0.00312,1.0,0.0,0.8,0.4167,0.17271,0.3,0.3684,0.01402,1.0,0.125,0.2069,0.0714,0.0833,0.0,0.4839,1.0,0.05697,0.0,0.0381,0.00144,0.4754,1.0,0.8,0.03221,0.1429,0.0,0.8,0.0
FGF6,0.80183,0.64275,0.90845,0.48158,0.20169,0.93631,0.0,0.84457,0.86856,0.0,0.67314,0.18596,0.56514,0.0,0.60964,0.65673,0.79215,0.60722,0.57498,0.87054,0.76609,0.69233,0.45281,0.52755,0.78913,0.60066,0.34071,0.72581,0.45879,0.66212,0.13955,0.70544,0.3692,0.48793,0.6942,0.77509,0.79416,0.24299,0.77341,0.64695,0.72308,0.0
FGF8,0.71331,0.47941,0.43468,0.7,0.88217,0.55036,0.0,0.94418,0.94888,0.0,0.42537,0.83333,0.46681,0.74872,1.0,0.56885,0.51111,0.34359,0.72095,0.4868,0.56818,1.0,0.61817,0.61113,0.88103,0.97562,0.40003,0.97825,0.64286,0.78125,0.88712,0.62257,0.11492,0.22035,0.75088,0.9394,0.62194,0.625,0.97779,0.44355,0.47302,0.0
FGF9,0.05563,0.00234,0.0,0.00288,0.02137,0.0,0.0,0.00115,0.00295,0.0,0.00194,0.00744,0.0063,0.0,0.0,0.00486,0.00363,0.01423,0.04552,0.0015,0.0,0.0,0.0,0.0,0.00168,0.04399,0.01648,0.00051,0.0,0.0,0.01917,0.00216,0.00334,0.00128,0.0,0.00126,0.0061,0.01777,0.01618,0.0,0.0,0.0
FGFR1,0.36647,0.3591,0.379,0.37433,0.28571,0.46504,0.0,0.36683,0.66878,0.0,0.27203,0.30405,0.16415,0.0,0.99958,0.37189,0.42052,0.52522,0.61077,0.37968,0.48087,0.07828,0.34091,0.38166,0.35403,0.63422,0.06818,0.24961,0.23231,0.25166,0.31951,0.5031,0.22591,0.32936,0.28694,0.91679,0.43155,0.36926,0.34444,0.3875,0.36441,0.0
FGFR2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.96031,0.0,0.71559,0.36772,0.97917,0.34783,1.0,0.72728,1.0,0.6786,0.96195,1.0,0.75,0.80997,0.98073,1.0,0.92796,0.73798,1.0,1.0,0.5,1.0,0.07845,0.88703,0.2,1.0,1.0,0.95397,0.85723,1.0,1.0,0.97297,0.3333,0.0
FGFR3,0.19251,0.42796,0.25641,0.09869,0.31273,0.35241,0.0,0.34825,0.14804,0.0,0.1406,0.18519,0.44279,0.0,1.0,0.35687,0.41743,0.24495,0.34426,0.26967,0.26261,0.41538,0.29381,0.45217,0.36709,0.27591,0.28821,0.54318,0.34294,0.34497,0.2799,0.32847,0.25768,0.29005,0.3586,0.88339,0.41441,0.16236,0.33031,0.15423,0.23485,0.0
FGFR4,0.00721,0.02763,0.0,0.01372,0.0,0.0,0.0,0.00469,0.0069,0.0,0.00134,0.0,0.0,0.0,0.0,0.00859,0.0,0.02522,0.02043,0.0,0.02559,0.00981,0.0,0.0,0.0,0.02854,0.0,0.0,0.04431,0.028,0.00448,0.00704,0.0,0.0,0.09551,0.48214,0.0,0.04461,0.03976,0.02387,0.0164,0.0
FGR,1.0,0.8483,1.0,0.66155,0.78082,0.9643,0.0,0.98092,0.92407,0.0,1.0,0.87712,0.86343,0.66667,0.33333,0.74195,0.84849,1.0,0.92667,0.95832,0.83334,0.9034,1.0,0.96775,0.96745,0.93333,0.76404,0.59675,0.93182,1.0,0.81416,0.91546,0.8077,0.72725,0.99109,0.95237,0.83449,1.0,0.95523,1.0,1.0,0.0
FLCN,0.04713,0.02054,0.00905,0.0034,0.0,0.01631,0.0,0.0,0.0,0.0,0.0,0.00721,0.0,0.0,0.0,0.00887,0.01248,0.01321,0.01272,0.00072,0.00228,0.0,0.00408,0.0,0.0009,0.0,0.01076,0.0,0.00958,0.0,0.0,0.02662,0.0,0.00299,0.0,0.08413,0.01374,0.0,0.00813,0.0,0.0,0.0
FLNB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLNC,0.03102,0.12243,0.00437,0.11983,0.0,0.02597,0.0,0.03876,0.1986,0.0,0.00047,0.07886,0.0944,0.0,0.5,0.0237,0.53112,0.0,0.21402,0.23578,0.1273,0.32202,0.18886,0.05468,0.00143,0.00433,0.11404,0.05296,0.10506,0.0,0.13637,0.20012,0.16561,0.25802,0.05697,0.61868,0.16739,0.38597,0.52907,0.07924,0.59339,0.0
FLOT1,0.04158,0.03461,0.0,0.00301,0.005,0.0194,0.0,0.00937,0.01417,0.0,0.0,0.01425,0.05838,0.02065,0.0,0.00297,0.00815,0.00063,0.00562,0.00308,0.00525,0.00046,0.00712,0.0075,0.00406,0.14573,0.18742,0.14624,0.41988,0.37769,0.00295,0.27213,0.0066,0.0,0.35393,0.00965,0.0031,0.01617,0.39044,0.00092,0.00848,0.0
FLOT2,0.35514,0.34816,0.33357,0.34687,0.28164,0.27777,0.0,0.33139,0.30831,0.0,0.33333,0.20943,0.32988,0.00115,0.0,0.35362,0.23077,0.34007,0.32852,0.34772,0.33189,0.33868,0.33333,0.28505,0.32432,0.34086,0.33097,0.33333,0.34786,0.33366,0.32648,0.29224,0.31781,0.33656,0.33333,0.33238,0.32769,0.32462,0.31747,0.33333,0.36173,0.0
FLT1,0.80172,0.12989,0.03149,0.13755,0.00714,0.48764,0.0,0.86446,0.43603,0.0,0.64013,0.13873,0.11499,0.00563,0.39808,0.76506,0.48732,0.44617,0.49858,0.0454,0.02918,0.02232,0.13911,0.07692,0.82735,0.10255,0.03979,0.74642,0.15749,0.03276,0.6373,0.68954,0.09638,0.09403,0.13335,0.81928,0.57013,0.07987,0.0758,0.24386,0.75663,0.0
FLT3,0.40841,0.07708,0.06023,0.07769,0.08401,0.10224,0.0,0.02539,0.56697,0.0,0.65264,0.06269,0.00648,0.0,0.9224,0.69007,0.01717,0.89961,0.00954,0.0166,0.04138,0.0,0.01073,0.03999,0.01129,0.28987,0.01186,0.59814,0.01072,0.54271,0.14791,0.51467,0.0078,0.0,0.28101,0.91382,0.8995,0.01732,0.71351,0.00192,0.0693,0.0
FLT3LG,0.15768,0.16466,0.08797,0.06097,0.09494,0.15122,0.0,0.12619,0.14444,0.0,0.11479,0.08316,0.16927,0.9956,0.0,0.14456,0.11343,0.15666,0.13963,0.13503,0.10286,0.12828,0.11607,0.15118,0.12268,0.17067,0.15637,0.07187,0.1037,0.14257,0.14351,0.08769,0.08678,0.16607,0.14438,0.16041,0.18419,0.07456,0.15298,0.10335,0.11404,0.0
FLT4,0.41208,0.03332,0.0468,0.04966,0.00654,0.07036,0.0,0.88211,0.76324,0.0,0.32763,0.10119,0.06142,0.0,0.83333,0.65812,0.59371,0.07952,0.16962,0.00753,0.03663,0.01524,0.00349,0.00731,0.03011,0.05294,0.0532,0.03712,0.03983,0.04534,0.05653,0.33394,0.03925,0.08173,0.05791,0.84782,0.57649,0.03616,0.22225,0.0,0.06529,0.0
FN1,0.0,0.0106,0.0,0.0,0.0,0.0,0.0,0.35,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235,0.2273,0.0,0.0,0.0,0.0,0.0
FNIP1,0.01684,0.01741,0.01046,0.00145,0.00215,0.01541,0.0,0.07497,0.0129,0.0,0.00039,0.03527,0.00183,0.00151,0.0,0.00452,0.01037,0.02847,0.01127,0.01478,0.00859,0.01332,0.00231,0.01001,0.00539,0.00859,0.00655,0.00215,0.01571,0.01715,0.00424,0.00184,0.0059,0.01378,0.0,0.50455,0.01313,0.0,0.06258,0.0,0.0146,0.0
FNIP2,0.00791,0.0,0.0,0.0,0.00802,0.0,0.0,0.0,0.00129,0.0,0.0,0.0,0.0084,0.00122,0.0,0.00321,0.0,0.0,0.00232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591,0.0,0.0,0.0,0.0006,0.00923,0.0
FOS,0.0,0.0047,0.00758,0.05108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01388,0.00335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00595,0.04545,0.0,0.0
FOSB,0.04571,0.02002,0.02148,0.00568,0.07869,0.01995,0.0,0.00185,0.005,0.0,0.00047,0.01592,0.00694,0.00113,0.00059,0.00293,0.00702,0.01724,0.00551,0.00791,0.00794,0.0,0.00262,0.0016,0.01945,0.0,0.00263,0.0,0.00457,0.00676,0.00094,0.00782,0.01271,0.0107,0.01209,0.02659,0.01014,0.00723,0.00439,0.0,0.0,0.0
FOSL1,0.04469,0.053,0.0226,0.01368,0.03247,0.0,0.0,0.0,0.0,0.0,0.0,0.04273,0.01399,0.0,0.0,0.0,0.0177,0.02602,0.00952,0.0,0.0,0.02491,0.0,0.0,0.00483,0.0,0.0,0.05614,0.0,0.12195,0.0,0.0,0.0,0.01956,0.0,0.0,0.02014,0.0,0.0,0.03472,0.0,0.0
FOXO1,0.1698,0.07487,0.02665,0.04392,0.03612,0.01794,0.0,0.09703,0.05806,0.0,0.04706,0.0479,0.08386,0.0,0.04037,0.15427,0.07802,0.07459,0.31621,0.06292,0.07097,0.00186,0.01342,0.15094,0.12262,0.07147,0.02524,0.1086,0.15976,0.0,0.04406,0.15015,0.07472,0.07743,0.00204,0.21361,0.00539,0.0,0.07191,0.02402,0.10164,0.0
FOXO3,0.04439,0.01668,0.00207,0.01623,0.00225,0.0186,0.0,0.00743,0.02716,0.0,0.0,0.00851,0.00087,0.00362,0.0,0.00099,0.00151,0.02438,0.01171,0.00222,0.00268,0.00314,0.00953,0.0,0.00327,0.0,0.01163,0.0,0.0,0.0,0.00384,0.00261,0.00319,0.00181,0.00368,0.45806,0.00075,0.00373,0.00324,0.0,0.00255,0.0
FRAT1,0.0303,0.01794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02072,0.00216,0.0,0.0,0.01156,0.0,0.01156,0.0,0.0211,0.01339,0.0,0.0,0.0,0.00768,0.01852,0.0,0.0,0.0,0.0,0.0098,0.0,0.01754,0.0,0.0,0.00549,0.0,0.0,0.0069,0.0,0.0,0.0
FRAT2,0.13204,0.11019,0.10387,0.10477,0.13087,0.11996,0.0,0.16684,0.1509,0.0,0.08285,0.08833,0.0998,0.22332,0.0017,0.12639,0.12222,0.16441,0.17812,0.1742,0.09407,0.07361,0.07783,0.12817,0.08765,0.12733,0.0395,0.07077,0.07666,0.10001,0.04535,0.14578,0.13438,0.06474,0.09444,0.14442,0.16782,0.07012,0.15919,0.05594,0.06487,0.0
FRMD1,0.9138,0.83383,0.96066,0.75527,0.85365,1.0,0.0,0.85661,0.96875,0.0,0.86148,0.1875,0.83453,0.0,1.0,0.46625,1.0,0.76928,0.85204,0.84538,0.69351,0.88277,1.0,0.9231,0.95525,0.60581,0.37844,0.63555,0.48297,0.46667,0.30208,0.54998,0.32294,0.80705,0.70569,0.74392,1.0,0.89452,0.60385,0.5658,0.86567,0.0
FRMD6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01067,0.1625,0.0,0.21843,0.1111,0.9706,0.0,0.0,0.0,0.0,0.25265,0.0,0.01069,0.0,0.16665,0.03413,0.21883,0.00437,0.01085,0.14285,0.01861,0.07292,0.0,0.00337,0.10258,0.09375,0.28572,0.0,0.5887,0.5055,0.00694,0.18422,0.33784,0.01219,0.0
FRS2,0.01712,0.01956,0.00277,0.00963,0.0,0.0,0.0,0.00776,0.02546,0.0,0.0,0.03537,0.00222,0.0,0.01041,0.00371,0.01961,0.0,0.01007,0.00812,0.00413,0.0,0.0,0.0,0.01566,0.03955,0.00368,0.0,0.00854,0.0,0.00758,0.00772,0.0022,0.00474,0.0,0.08996,0.0,0.0,0.00245,0.0,0.0,0.0
FST,0.15229,0.03123,0.00342,0.00725,0.0348,0.00169,0.0,0.24238,0.00352,0.0,0.0361,0.01064,0.00367,0.00056,0.29087,0.00361,0.07186,0.01846,0.01141,0.02836,0.00533,0.0,0.00518,0.01264,0.00823,0.01997,0.14101,0.0,0.02348,0.0,0.00786,0.00247,0.01109,0.01287,0.0,0.73437,0.05905,0.00642,0.00733,0.0,0.0,0.0
FXYD1,0.89006,0.83928,0.92163,0.73125,0.85366,0.94308,0.0,0.94138,0.74826,0.0,0.27555,0.44527,0.80865,0.50787,1.0,0.70154,0.83781,0.7619,0.93366,0.87472,0.77183,0.79311,0.88634,0.84683,1.0,0.84254,0.5376,0.6053,0.74167,1.0,0.82309,0.6322,0.83484,0.8946,0.64513,0.78129,0.72002,0.72043,0.85688,0.85422,0.90974,0.0
